sentence_ID,verb,agent,patient
1182,clap,Lottie,Carrisford
1187,reveal,Sara,492
1363,change,Sara,Sara
1406,let,2176,Ermengarde
1407,let,2176,Ermengarde
1438,watch,Ram Dass,Sara
1438,watch,Emily,Sara
1440,hear,Ram Dass,1756
1449,hold,Sara,Emily
1449,hold,Sara,Ram Dass
1455,give,2200,Sara
1455,give,Sara,Sara
1457,know,Sara,Sara
1472,have,Sara,1775
1472,keep,Miss Minchin,Sara
1476,turn,Sara,Sara
1491,wear,Sara,Sara
1500,let,268,Sara
1500,let,Becky,Sara
1500,make,Sara,Sara
1504,know,Sara,Sara
1505,like,414,Sara
1505,like,Sara,414
1509,please,Sara,Miss Minchin
1524,stare,Miss Minchin,Sara
1524,stop,Miss Minchin,Sara
1525,hold,Sara,Emily
1525,hold,Sara,Ram Dass
1556,put,Sara,Sara
1556,lay,Sara,Ram Dass
1556,lay,Sara,Emily
1558,rub,Becky,Ermengarde
1558,rub,Ermengarde,Becky
1563,hold,Sara,Sara
1584,describe,Ermengarde,736
1595,keep,Sara,414
1597,upset,Lottie,Carrisford
1597,upset,Carrisford,Lottie
1599,hear,Sara,414
1606,want,Sara,746
1606,earn,Sara,Sara
1616,drop,Sara,Sara
1630,like,Lavinia,Sara
1630,find,Sara,164
1634,think,Sara,459
1637,take,Sara,Sara
1649,help,Sara,Sara
1652,find,Michin,Ermengarde
1652,find,Ermengarde,Michin
1656,besiege,Ermengarde,Sara
1656,besiege,Michin,Sara
1656,bring,Ermengarde,Michin
1656,bring,Michin,Ermengarde
1658,forgot,Sara,Ermengarde
1658,forgot,Sara,Michin
1660,see,Michin,Sara
1660,encounter,Sara,Sara
1660,meet,Sara,Sara
1660,see,Ermengarde,Sara
1666,imagine,Michin,Sara
1666,imagine,Ermengarde,Sara
1667,make,Sara,Sara
1669,lose,Michin,Ermengarde
1669,lose,Ermengarde,Michin
1670,know,Michin,Sara
1670,know,Ermengarde,Sara
1684,make,Sara,Sara
1689,know,Michin,1775
1724,like,Sara,Ermengarde
1724,like,Sara,Michin
1729,think,Sara,Ermengarde
1729,think,Sara,Michin
1737,see,Sara,Sara
1739,want,Miss Minchin,Sara
1741,think,Sara,Michin
1746,desert,Michin,Sara
1746,desert,Ermengarde,Sara
1747,clasp,Sara,Sara
1752,let,Sara,817
1752,beg,Ermengarde,Sara
1752,beg,Michin,Sara
1801,console,Sara,Lottie
1801,console,Sara,Carrisford
1817,see,Sara,Sara
1832,control,Carrisford,Lottie
1832,control,Lottie,Carrisford
1836,hug,Sara,Lottie
1836,hug,Sara,Carrisford
1845,lift,Sara,Lottie
1845,lift,Sara,Carrisford
1879,forgot,Carrisford,Lottie
1879,forgot,Lottie,Carrisford
1893,make,Sara,Carrisford
1893,make,Sara,Lottie
1906,let,Sara,Sara
1911,lift,Sara,Sara
1911,leave,Sara,Sara
1920,like,Sara,164
1921,see,164,Sara
1933,make,Sara,1887
1943,watch,Sara,886
1954,hear,Ermengarde,Michin
1954,hear,Michin,Ermengarde
1956,hear,Michin,Ermengarde
1956,hear,Ermengarde,Michin
1958,find,Sara,Michin
1958,find,Sara,Ermengarde
1961,draw,Sara,Michin
1961,draw,Sara,Ermengarde
1963,control,Ermengarde,Michin
1963,control,Michin,Ermengarde
1964,see,Michin,1775
1975,tuck,Michin,Ermengarde
1975,tuck,Ermengarde,Michin
1981,make,Sara,2331
1982,call,Sara,2331
1982,know,2331,Sara
1983,see,Michin,2331
1984,watch,Michin,Sara
1984,tuck,Michin,Ermengarde
1984,watch,Ermengarde,Sara
1984,tuck,Ermengarde,Michin
1993,think,Michin,Sara
1993,think,Ermengarde,Sara
2001,hear,Sara,2324
2011,like,Papa,Michin
