sentence_ID,verb,agent,patient
21,think,Piglet,Pooh
22,take,116,Pooh
53,put,Pooh,Pooh
53,put,Pooh,Pooh
91,put,Pooh,Pooh
91,put,Pooh,Pooh
96,put,Pooh,Pooh
96,put,Pooh,Pooh
99,think,466,Pooh
99,notice,466,Pooh
99,think,466,Pooh
99,notice,466,Pooh
106,take,Pooh,Pooh
106,take,Pooh,Pooh
149,think,Pooh,472
150,think,Pooh,Pooh
150,think,Pooh,Pooh
155,get,Pooh,Pooh
155,get,Pooh,Pooh
179,trail,Christopher Robin,Pooh
199,take,Pooh,Edward Bear
204,take,Pooh,Pooh
204,take,Pooh,Pooh
324,like,Pooh,Christopher Robin
349,fit,Pooh,Pooh
349,fit,Pooh,Pooh
349,scratch,Pooh,Pooh
349,scratch,Pooh,Pooh
392,find,Pooh,Eeyore
438,see,Pooh,516
455,wipe,Pooh,Pooh
455,wipe,Pooh,Pooh
465,say,Piglet,Pooh
468,nod,Pooh,Pooh
468,nod,Pooh,Pooh
471,help,Piglet,Pooh
479,rub,Pooh,Pooh
479,rub,Pooh,Pooh
508,put,Pooh,Pooh
508,put,Pooh,Pooh
552,count,Pooh,Heffalumps
559,polish,Pooh,Pooh
559,polish,Pooh,Pooh
565,push,Pooh,Pooh
565,push,Pooh,Pooh
613,bump,Pooh,Pooh
613,bump,Pooh,Pooh
1657,trail,Christopher Robin,Pooh
1660,hear,0,Pooh
